Hull Number,Ship Name
SSN-721,USS Chicago
SSN-722,USS Key West
SSN-723,USS Oklahoma City 
SSN-750,USS Newport News
SSN-751,USS San Juan
SSN-752,USS Pasadena
SSN-753,USS Albany
SSN-754,USS Topeka
SSN-756,USS Scranton
SSN-757,USS Alexandria 
SSN-758,USS Asheville
SSN-759,USS Jefferson City
SSN-760,USS Annapolis
SSN-761,USS Springfield
SSN-762,USS Columbus
SSN-763,USS Santa Fe
SSN-764,USS Boise
SSN-765,USS Montpelier
SSN-766,USS Charlotte
SSN-767,USS Hampton
SSN-768,USS Hartford
SSN-769,USS Toledo
SSN-770,USS Tucson
SSN-771,USS Columbia
SSN-772,USS Greeneville
SSN-773,USS Cheyenne
SSN-774,USS Virginia
SSN-775,USS Texas
SSN-776,USS Hawaii
SSN-777,USS North Carolina
SSN-778,USS New Hampshire
SSN-779,USS New Mexico
